placer,dropped_multicast
sa,487
hilbert,2962042
sa,1
hilbert,3161959
sa,98
sa,5
rcm,2247250
sa,0
rcm,1709328
sa,100991
sa,0
hilbert,2119359
sa,3
hilbert,1933368
sa,0
hilbert,3200377
sa,76
sa,0
hilbert,707642
sa,3
hilbert,3519009
rand,3079349
sa,2
hilbert,2896578
sa,0
hilbert,3262291
sa,0
hilbert,3171100
hilbert,2512585
sa,0
hilbert,2698672
sa,20
hilbert,2980670
hilbert,2020720
rand,4183446
sa,0
sa,15377
hilbert,2673672
sa,4
sa,0
hilbert,3559317
sa,2
sa,261183
sa,25
sa,348631
hilbert,3352073
sa,206
hilbert,2115873
sa,0
rand,3165706
sa,0
sa,2
sa,0
sa,202999
sa,12024
sa,0
hilbert,2959976
sa,0
hilbert,1772210
sa,6
sa,1
sa,53684
hilbert,2601035
sa,0
sa,0
hilbert,440756
sa,35918
hilbert,3138172
sa,0
hilbert,2228685
rcm,1964453
sa,279
sa,0
hilbert,1574057
sa,0
hilbert,4051584
hilbert,3033769
sa,0
sa,98
rcm,2045529
sa,65713
sa,12528
hilbert,3219225
rcm,2340322
sa,551542
rand,4020049
sa,1
sa,2158564
hilbert,1426665
rand,3518816
sa,0
hilbert,3648848
sa,48
hilbert,3458124
sa,0
hilbert,2430243
sa,0
hilbert,2527760
hilbert,3135085
sa,24967
hilbert,2568100
sa,130263
sa,0
hilbert,2551479
rand,3415678
sa,70
hilbert,922908
sa,0
hilbert,2713243
sa,0
hilbert,3062755
sa,130962
rand,3802219
sa,6
sa,0
sa,221
hilbert,3724376
sa,91497
hilbert,253723
sa,0
sa,0
rand,3982415
sa,64
sa,0
hilbert,3110164
sa,6
hilbert,3426489
sa,8
sa,0
hilbert,3298767
sa,3264
hilbert,669519
sa,0
sa,6
hilbert,3230353
sa,1452
hilbert,2662147
sa,0
hilbert,3690931
sa,0
hilbert,3234701
rcm,2331570
sa,3
sa,0
hilbert,1034649
rand,3901344
sa,0
sa,0
hilbert,2870686
sa,3318
sa,523
hilbert,3002629
rcm,1877372
sa,0
hilbert,3932568
sa,0
hilbert,3050679
sa,10
sa,1240049
hilbert,3155864
sa,5
hilbert,1843215
sa,0
hilbert,1690860
sa,1898
sa,0
sa,168
hilbert,2998812
sa,6
