netlist,placer,saturation_point
mu0.json,sa,NA
mu0.json,hilbert,320200.0
mu0.json,rcm,32920.0
mu0.json,rand,40900.0
mu0.json,sa,NA
mu0.json,hilbert,152620.0
mu0.json,rcm,44890.0
mu0.json,rand,116710.0
mu0.json,sa,NA
mu0.json,hilbert,240400.0
mu0.json,rcm,28930.0
mu0.json,rand,52870.0
mu0.json,sa,NA
mu0.json,hilbert,228430.0
mu0.json,rcm,60850.0
mu0.json,rand,104740.0
mu0.json,hilbert,156610.0
mu0.json,rcm,68830.0
mu0.json,rand,104740.0
mu0.json,sa,NA
mu0.json,hilbert,220450.0
mu0.json,rcm,64840.0
mu0.json,rand,120700.0
mu0.json,sa,NA
mu0.json,hilbert,236410.0
mu0.json,rcm,72820.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,244390.0
mu0.json,rcm,64840.0
mu0.json,rand,120700.0
mu0.json,sa,NA
mu0.json,hilbert,384040.0
mu0.json,rcm,60850.0
mu0.json,rand,96760.0
mu0.json,sa,NA
mu0.json,hilbert,196510.0
mu0.json,rcm,60850.0
mu0.json,rand,120700.0
mu0.json,sa,NA
mu0.json,hilbert,268330.0
mu0.json,rcm,64840.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,208480.0
mu0.json,rcm,60850.0
mu0.json,rand,116710.0
mu0.json,sa,NA
mu0.json,hilbert,308230.0
mu0.json,rcm,64840.0
mu0.json,rand,96760.0
mu0.json,sa,NA
mu0.json,hilbert,144640.0
mu0.json,rcm,44890.0
mu0.json,rand,76810.0
mu0.json,sa,NA
mu0.json,hilbert,232420.0
mu0.json,rcm,32920.0
mu0.json,rand,44890.0
mu0.json,sa,NA
mu0.json,hilbert,176560.0
mu0.json,rcm,44890.0
mu0.json,rand,68830.0
mu0.json,sa,NA
mu0.json,hilbert,220450.0
mu0.json,rcm,32920.0
mu0.json,rand,48880.0
mu0.json,sa,NA
mu0.json,hilbert,232420.0
mu0.json,rcm,36910.0
mu0.json,rand,48880.0
mu0.json,sa,NA
mu0.json,hilbert,256360.0
mu0.json,rcm,32920.0
mu0.json,rand,60850.0
mu0.json,sa,NA
mu0.json,hilbert,240400.0
mu0.json,rcm,28930.0
mu0.json,rand,48880.0
mu0.json,sa,NA
mu0.json,hilbert,232420.0
mu0.json,rcm,32920.0
mu0.json,rand,52870.0
mu0.json,sa,NA
mu0.json,hilbert,144640.0
mu0.json,rcm,44890.0
mu0.json,rand,72820.0
mu0.json,sa,NA
mu0.json,hilbert,304240.0
mu0.json,rcm,44890.0
mu0.json,rand,88780.0
mu0.json,sa,NA
mu0.json,hilbert,300250.0
mu0.json,rcm,48880.0
mu0.json,rand,72820.0
mu0.json,sa,NA
mu0.json,hilbert,232420.0
mu0.json,rcm,52870.0
mu0.json,rand,68830.0
mu0.json,sa,NA
mu0.json,hilbert,224440.0
mu0.json,rcm,48880.0
mu0.json,rand,72820.0
mu0.json,sa,NA
mu0.json,hilbert,264340.0
mu0.json,rcm,52870.0
mu0.json,rand,76810.0
mu0.json,sa,NA
mu0.json,hilbert,148630.0
mu0.json,rcm,44890.0
mu0.json,rand,64840.0
mu0.json,sa,NA
mu0.json,hilbert,156610.0
mu0.json,rcm,52870.0
mu0.json,rand,72820.0
mu0.json,sa,NA
mu0.json,hilbert,240400.0
mu0.json,rcm,32920.0
mu0.json,rand,64840.0
mu0.json,sa,NA
mu0.json,hilbert,252370.0
mu0.json,rcm,28930.0
mu0.json,rand,52870.0
mu0.json,sa,NA
mu0.json,hilbert,216460.0
mu0.json,rcm,28930.0
mu0.json,rand,68830.0
mu0.json,sa,NA
mu0.json,hilbert,196510.0
mu0.json,rcm,32920.0
mu0.json,rand,68830.0
mu0.json,sa,NA
mu0.json,rcm,48880.0
mu0.json,rand,128680.0
mu0.json,sa,NA
mu0.json,hilbert,244390.0
mu0.json,rcm,48880.0
mu0.json,rand,136660.0
mu0.json,sa,NA
mu0.json,hilbert,200500.0
mu0.json,rcm,44890.0
mu0.json,rand,100750.0
mu0.json,sa,NA
mu0.json,hilbert,232420.0
mu0.json,rcm,40900.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,152620.0
mu0.json,rcm,52870.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,268330.0
mu0.json,rcm,52870.0
mu0.json,rand,80800.0
mu0.json,sa,NA
mu0.json,hilbert,244390.0
mu0.json,rcm,52870.0
mu0.json,rand,148630.0
mu0.json,sa,NA
mu0.json,hilbert,212470.0
mu0.json,rcm,60850.0
mu0.json,rand,104740.0
mu0.json,sa,NA
mu0.json,hilbert,156610.0
mu0.json,rcm,64840.0
mu0.json,rand,120700.0
mu0.json,sa,NA
mu0.json,hilbert,348130.0
mu0.json,rcm,52870.0
mu0.json,rand,124690.0
mu0.json,sa,NA
mu0.json,hilbert,376060.0
mu0.json,rcm,60850.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,248380.0
mu0.json,rcm,60850.0
mu0.json,rand,96760.0
mu0.json,sa,NA
mu0.json,hilbert,268330.0
mu0.json,rcm,60850.0
mu0.json,rand,132670.0
mu0.json,sa,NA
mu0.json,hilbert,304240.0
mu0.json,rcm,60850.0
mu0.json,rand,88780.0
mu0.json,sa,NA
mu0.json,hilbert,164590.0
mu0.json,rcm,28930.0
mu0.json,rand,64840.0
mu0.json,sa,NA
mu0.json,hilbert,212470.0
mu0.json,rcm,24940.0
mu0.json,rand,56860.0
mu0.json,sa,NA
mu0.json,hilbert,220450.0
mu0.json,rcm,28930.0
mu0.json,rand,64840.0
mu0.json,sa,NA
mu0.json,hilbert,236410.0
mu0.json,rcm,28930.0
mu0.json,rand,60850.0
mu0.json,sa,NA
mu0.json,hilbert,160600.0
mu0.json,rcm,28930.0
mu0.json,rand,68830.0
mu0.json,sa,NA
mu0.json,hilbert,260350.0
mu0.json,rcm,56860.0
mu0.json,rand,68830.0
mu0.json,sa,NA
mu0.json,hilbert,208480.0
mu0.json,rcm,52870.0
mu0.json,rand,68830.0
mu0.json,sa,NA
mu0.json,hilbert,148630.0
mu0.json,rcm,48880.0
mu0.json,rand,116710.0
mu0.json,sa,NA
mu0.json,hilbert,344140.0
mu0.json,rcm,60850.0
mu0.json,rand,116710.0
mu0.json,sa,NA
mu0.json,hilbert,152620.0
mu0.json,rcm,60850.0
mu0.json,rand,116710.0
mu0.json,sa,NA
mu0.json,hilbert,172570.0
mu0.json,rcm,48880.0
mu0.json,rand,72820.0
mu0.json,sa,NA
mu0.json,hilbert,176560.0
mu0.json,rcm,60850.0
mu0.json,rand,104740.0
mu0.json,sa,NA
mu0.json,hilbert,176560.0
mu0.json,rcm,64840.0
mu0.json,rand,84790.0
mu0.json,sa,NA
mu0.json,hilbert,216460.0
mu0.json,rcm,64840.0
mu0.json,rand,80800.0
mu0.json,sa,NA
mu0.json,hilbert,172570.0
mu0.json,rcm,40900.0
mu0.json,rand,72820.0
mu0.json,sa,NA
mu0.json,hilbert,144640.0
mu0.json,rcm,44890.0
mu0.json,rand,68830.0
mu0.json,sa,NA
mu0.json,hilbert,132670.0
mu0.json,rcm,48880.0
mu0.json,rand,72820.0
mu0.json,sa,NA
mu0.json,rcm,48880.0
mu0.json,rand,68830.0
mu0.json,sa,NA
mu0.json,hilbert,244390.0
mu0.json,rcm,44890.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,192520.0
mu0.json,rcm,48880.0
mu0.json,rand,116710.0
mu0.json,sa,NA
mu0.json,hilbert,260350.0
mu0.json,rcm,44890.0
mu0.json,rand,120700.0
mu0.json,sa,NA
mu0.json,hilbert,264340.0
mu0.json,rcm,48880.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,268330.0
mu0.json,rcm,52870.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,248380.0
mu0.json,rcm,44890.0
mu0.json,rand,120700.0
mu0.json,sa,NA
mu0.json,hilbert,176560.0
mu0.json,rcm,44890.0
mu0.json,rand,128680.0
mu0.json,sa,NA
mu0.json,hilbert,156610.0
mu0.json,rcm,40900.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,240400.0
mu0.json,rcm,40900.0
mu0.json,rand,132670.0
mu0.json,sa,NA
mu0.json,hilbert,252370.0
mu0.json,rcm,56860.0
mu0.json,rand,128680.0
mu0.json,sa,NA
mu0.json,hilbert,280300.0
mu0.json,rcm,44890.0
mu0.json,rand,100750.0
mu0.json,sa,NA
mu0.json,hilbert,276310.0
mu0.json,rcm,52870.0
mu0.json,rand,132670.0
mu0.json,sa,NA
mu0.json,hilbert,236410.0
mu0.json,rcm,36910.0
mu0.json,rand,116710.0
mu0.json,sa,NA
mu0.json,hilbert,184540.0
mu0.json,rcm,36910.0
mu0.json,rand,128680.0
mu0.json,sa,NA
mu0.json,hilbert,244390.0
mu0.json,rcm,40900.0
mu0.json,rand,128680.0
mu0.json,sa,NA
mu0.json,hilbert,248380.0
mu0.json,rcm,44890.0
mu0.json,rand,116710.0
mu0.json,sa,NA
mu0.json,hilbert,260350.0
mu0.json,rcm,48880.0
mu0.json,rand,120700.0
mu0.json,sa,NA
mu0.json,hilbert,236410.0
mu0.json,rcm,44890.0
mu0.json,rand,100750.0
mu0.json,sa,NA
mu0.json,hilbert,288280.0
mu0.json,rcm,52870.0
mu0.json,rand,128680.0
mu0.json,sa,NA
mu0.json,hilbert,232420.0
mu0.json,rcm,44890.0
mu0.json,rand,120700.0
mu0.json,sa,NA
mu0.json,hilbert,268330.0
mu0.json,rcm,48880.0
mu0.json,rand,96760.0
mu0.json,sa,NA
mu0.json,hilbert,244390.0
mu0.json,rcm,52870.0
mu0.json,rand,132670.0
mu0.json,sa,NA
mu0.json,hilbert,280300.0
mu0.json,rcm,48880.0
mu0.json,rand,128680.0
mu0.json,sa,NA
mu0.json,hilbert,284290.0
mu0.json,rcm,40900.0
mu0.json,rand,108730.0
mu0.json,sa,NA
mu0.json,hilbert,272320.0
mu0.json,rcm,40900.0
mu0.json,rand,124690.0
mu0.json,sa,NA
mu0.json,hilbert,152620.0
mu0.json,rcm,52870.0
mu0.json,rand,100750.0
mu0.json,sa,NA
mu0.json,hilbert,284290.0
mu0.json,rcm,48880.0
mu0.json,rand,140650.0
mu0.json,sa,NA
mu0.json,hilbert,192520.0
mu0.json,rcm,52870.0
mu0.json,rand,124690.0
mu0.json,sa,NA
mu0.json,hilbert,272320.0
mu0.json,rcm,48880.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,280300.0
mu0.json,rcm,44890.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,228430.0
mu0.json,rcm,40900.0
mu0.json,rand,132670.0
mu0.json,sa,NA
mu0.json,hilbert,236410.0
mu0.json,rcm,52870.0
mu0.json,rand,128680.0
mu0.json,sa,NA
mu0.json,hilbert,208480.0
mu0.json,rcm,52870.0
mu0.json,rand,112720.0
mu0.json,sa,NA
mu0.json,hilbert,184540.0
mu0.json,rcm,52870.0
mu0.json,rand,128680.0
mu0.json,sa,NA
mu0.json,hilbert,244390.0
mu0.json,rcm,40900.0
mu0.json,rand,100750.0
