placer,dropped_multicast
sa,6088
hilbert,11524659
rcm,8393531
rand,533
sa,0
hilbert,4939181
rcm,3911255
rand,4685351
sa,0
hilbert,129791
rcm,12018195
rand,3679798
sa,0
hilbert,12905482
rcm,4963099
rand,140085
sa,0
hilbert,0
rcm,19603272
rand,11501605
sa,0
hilbert,8045675
rcm,12292147
rand,537
sa,0
hilbert,11070821
rcm,19949022
rand,4863778
sa,0
hilbert,6648085
rcm,13038571
rand,567857
sa,0
hilbert,8154258
rcm,7434958
rand,3266688
sa,0
hilbert,2600366
rcm,12792051
rand,4736931
sa,0
hilbert,512391
rcm,17440842
rand,737576
sa,0
hilbert,3884161
rcm,6225778
rand,2320955
sa,0
hilbert,1493251
rcm,8339510
rand,67972
sa,0
hilbert,5695016
rcm,11850083
rand,1101093
sa,0
hilbert,8085776
rcm,19030333
rand,7079055
sa,0
hilbert,0
rcm,11042786
rand,4167514
sa,0
hilbert,8370081
rcm,10264953
rand,192722
sa,0
hilbert,8472732
rcm,11969368
rand,658
sa,0
hilbert,3924449
rcm,12249509
rand,34324
sa,0
hilbert,7496018
rcm,4549613
rand,1242302
sa,0
hilbert,1878305
rcm,19287802
rand,330
sa,0
hilbert,0
rcm,11695315
rand,870
sa,0
hilbert,0
rcm,8165575
rand,436115
sa,0
hilbert,7724297
rcm,8722454
rand,468
sa,0
hilbert,4318111
rcm,4761200
rand,226006
sa,0
hilbert,8012
rcm,12118094
rand,6631
sa,0
hilbert,1449
rcm,11964097
rand,9374130
sa,0
hilbert,0
rcm,9810588
rand,3415
sa,0
hilbert,0
rcm,11625041
rand,287139
sa,0
hilbert,8406108
rcm,11798278
rand,1929152
sa,0
hilbert,7917684
rcm,13158067
rand,4070176
sa,0
hilbert,7684189
rcm,6481531
rand,2892
sa,0
hilbert,4238374
rcm,5527381
rand,1449888
sa,0
hilbert,7225246
rcm,12190836
rand,2747170
sa,0
hilbert,0
rcm,12323205
rand,324315
sa,0
hilbert,6402634
rcm,8624070
rand,887
sa,0
hilbert,0
rcm,19057822
rand,8136
sa,0
hilbert,0
rcm,2191702
rand,32297
sa,0
hilbert,5332081
rcm,10889526
rand,1099
sa,0
hilbert,0
rcm,7349355
rand,4230168
sa,0
hilbert,3133721
rcm,20209893
rand,1994160
sa,0
hilbert,32202
rcm,10886313
rand,2984712
sa,0
hilbert,6000179
rcm,18759044
rand,1540957
sa,0
hilbert,4418802
rcm,8586917
rand,3784
sa,0
hilbert,4016857
rcm,11518186
rand,695
sa,0
hilbert,4501466
rcm,5917971
rand,82237
sa,0
hilbert,0
rcm,18093291
rand,5920197
sa,0
hilbert,7889554
rcm,11309646
rand,4541495
sa,0
hilbert,6553060
rcm,11546478
rand,7124409
sa,0
hilbert,0
rcm,3829672
rand,354359
sa,0
hilbert,0
rcm,8613263
rand,6694540
sa,0
hilbert,2389
rcm,14310625
rand,590
sa,0
hilbert,284483
rcm,10943190
rand,441
sa,0
hilbert,5567412
rcm,13657955
rand,26733
sa,0
hilbert,4030435
rcm,7305762
rand,30236
sa,0
hilbert,0
rcm,2690414
rand,8656377
sa,0
hilbert,13462692
rcm,11343264
rand,145133
sa,1774
hilbert,2920751
rcm,5796360
rand,104
sa,0
hilbert,0
rcm,17710864
rand,4614264
sa,0
hilbert,8323489
rcm,18094559
rand,3220763
sa,0
hilbert,0
rcm,12183429
rand,7668
sa,0
hilbert,5157110
rcm,8071061
rand,4445673
sa,0
hilbert,0
rcm,8391510
rand,105530
sa,0
hilbert,2471865
rcm,19641046
rand,3960196
sa,0
hilbert,7559839
rcm,3334904
rand,2479385
sa,0
hilbert,4929401
rcm,8182797
rand,8264
sa,0
hilbert,6046896
rcm,5381970
rand,4968268
sa,0
hilbert,0
rcm,11621200
rand,1419326
sa,955
hilbert,0
rcm,16403140
rand,3014389
sa,0
hilbert,0
rcm,10403333
rand,167012
sa,23436
hilbert,0
rcm,6615433
rand,18743
sa,0
hilbert,10192999
rcm,11545301
rand,362
sa,0
hilbert,8845480
rcm,14701554
rand,2583560
sa,0
hilbert,0
rcm,4911443
rand,1260343
sa,0
hilbert,3645731
rcm,11717251
rand,524380
sa,0
hilbert,0
rcm,3790759
rand,408
sa,0
hilbert,586544
rcm,9248274
rand,737
sa,0
hilbert,9615076
rcm,10935345
rand,3208798
sa,0
hilbert,2473608
rcm,5013820
rand,843
sa,0
hilbert,7025961
rcm,7685019
rand,2481147
sa,0
hilbert,4456467
rcm,12742077
rand,949516
sa,0
hilbert,8297894
rcm,10376394
rand,14106501
sa,0
hilbert,3928112
rcm,5883653
rand,3845145
sa,2501
hilbert,5089949
rcm,11548705
rand,1446227
sa,0
hilbert,6624261
rcm,13622958
rand,5843381
sa,0
hilbert,7243658
rcm,13275079
rand,1371
sa,0
hilbert,2222134
rcm,9739036
rand,13453
sa,0
hilbert,6900176
rcm,12396181
rand,24722
sa,0
hilbert,6981888
rcm,7159313
rand,5027497
sa,0
hilbert,6728635
rcm,6158301
rand,11873
sa,0
hilbert,7357693
rcm,3731275
rand,4
sa,0
hilbert,48
rcm,5532376
rand,425846
sa,0
hilbert,0
rcm,5336792
rand,1244157
sa,0
hilbert,0
rcm,8858155
rand,281174
sa,0
hilbert,9140039
rcm,12532617
rand,143151
sa,359655
hilbert,0
rcm,5354338
rand,3096689
sa,3965399
hilbert,0
rcm,20911894
rand,364471
sa,0
hilbert,0
rcm,10945417
rand,61002
sa,0
hilbert,6592579
rcm,12369968
rand,933
sa,0
hilbert,0
rcm,19446565
rand,782311
