placer,width,height,fan_out,distance_sd,runtime,placed_net_length,manual_net_length,placed_total_entries,manual_total_entries,placed_max_entries,manual_max_entries
hilbert,128,128,1,8.0,0.193506002426,42607,61657,36352,41180,69,60
rcm,128,128,1,8.0,0.185294866562,160594,61524,39008,41253,131,58
hilbert,128,128,1,8.0,0.193450212479,46505,61139,36373,41173,86,56
rcm,128,128,1,8.0,0.259708881378,145396,60890,36904,41066,125,56
rcm,128,128,1,8.0,0.27703499794,168745,60864,40488,41099,112,59
rand,128,128,1,8.0,0.511646986008,219766,61087,47544,41101,63,56
rand,128,128,1,8.0,0.516680002213,219790,61012,47503,40992,66,57
hilbert,128,128,2,8.0,0.226500988007,276889,96794,69133,63603,124,91
hilbert,128,128,2,8.0,0.223333835602,273422,97115,69167,63565,132,81
hilbert,128,128,2,8.0,0.22354388237,279150,96956,69482,63654,121,85
rcm,128,128,2,8.0,0.268531084061,315809,96899,78523,63823,157,86
rcm,128,128,2,8.0,0.26784992218,315228,96843,78593,63598,170,83
rcm,128,128,2,8.0,0.266474962234,313949,96928,78444,63633,159,87
rand,128,128,2,8.0,0.535801172256,358934,96588,80701,63528,119,84
rand,128,128,2,8.0,0.513073921204,357843,96613,80677,63685,125,85
rand,128,128,2,8.0,0.521866083145,357727,96906,80570,63785,112,83
hilbert,128,128,2,8.0,0.223097085953,275808,97072,69245,63773,123,83
hilbert,128,128,1,8.0,0.193450927734,40330,60957,34348,41084,67,55
rcm,128,128,1,8.0,0.266902923584,181590,60658,41987,40885,124,54
hilbert,128,128,4,8.0,0.306061983109,409881,153542,122759,103968,182,134
hilbert,128,128,4,8.0,0.306651115417,420853,153093,123775,103924,173,135
hilbert,128,128,4,8.0,0.304113864899,425022,153283,123072,103866,178,131
rcm,128,128,4,8.0,0.337023973465,499103,153477,139386,103928,246,140
sa,128,128,1,8.0,28.2790620327,25716,61214,21627,41051,30,58
sa,128,128,1,8.0,27.9812870026,25679,60838,21514,40973,29,62
sa,128,128,1,8.0,28.381855011,25559,61087,21513,41092,29,59
rand,128,128,4,8.0,0.517242193222,580945,153451,145245,103773,227,127
sa,128,128,1,8.0,28.2251610756,25674,60948,21592,41063,29,60
hilbert,128,128,1,8.0,0.191955089569,42891,60966,36046,41148,78,56
rand,128,128,4,8.0,0.514629125595,581308,153517,145195,104054,214,137
hilbert,128,128,8,8.0,0.567247152328,646362,235959,226740,173081,325,212
hilbert,128,128,8,8.0,0.572266817093,648419,235988,226750,173257,347,209
rcm,128,128,2,8.0,0.186975955963,314906,96972,78344,63556,145,90
hilbert,128,128,8,8.0,0.572842121124,654816,235558,227284,172858,320,206
rand,128,128,2,8.0,0.51593208313,357871,96876,80678,63690,113,83
rand,128,128,1,8.0,0.514713048935,220153,61003,47599,41014,70,55
sa,128,128,2,8.0,39.0416810513,71551,96830,46590,63750,68,85
sa,128,128,2,8.0,40.2552511692,79424,96627,46777,63706,67,88
rcm,128,128,8,8.0,0.445314884186,759048,236266,251700,173444,453,213
rcm,128,128,8,8.0,0.445350885391,760807,235811,251823,173119,460,214
sa,128,128,2,8.0,38.7164289951,81749,96851,45985,63746,70,87
rcm,128,128,2,8.0,0.270303964615,315293,97218,78620,63694,164,94
rand,128,128,8,8.0,0.50994515419,910615,236176,265904,173195,375,213
rand,128,128,4,8.0,0.507883787155,581347,153522,145243,104085,219,131
hilbert,128,128,8,8.0,0.577816009521,647317,235464,226041,173021,317,221
sa,128,128,2,8.0,38.3482351303,81507,96788,46055,63436,71,90
rand,128,128,16,8.0,0.320780992508,1377258,352047,490719,285087,678,334
rand,128,128,16,8.0,0.320080041885,1378556,351907,490756,285294,640,343
hilbert,128,128,16,8.0,1.41320300102,941394,352218,406749,285267,557,340
hilbert,128,128,16,8.0,1.41243696213,941183,352181,405358,285239,553,331
hilbert,128,128,16,8.0,1.40867400169,948001,352246,407564,285110,551,336
hilbert,128,128,16,8.0,1.39330410957,926473,352192,403742,285246,566,327
rcm,128,128,16,8.0,0.702545881271,1117914,353136,454279,285784,737,338
rcm,128,128,16,8.0,0.71394610405,1117810,351679,454528,284956,721,330
sa,128,128,4,8.0,69.7606198788,157060,153907,92526,104239,142,131
rcm,128,128,16,8.0,0.696068048477,1141110,351829,458297,285169,692,334
sa,128,128,4,8.0,72.6346490383,134631,152745,92045,103757,120,130
sa,128,128,4,8.0,71.497879982,157778,153278,92857,103975,135,134
sa,128,128,4,8.0,72.5129239559,156593,153303,92466,103959,133,137
rcm,128,128,16,8.0,0.697491884232,1123200,352260,454966,285113,760,321
hilbert,128,128,1,8.0,0.196437120438,40180,61008,35037,41082,72,57
hilbert,128,128,32,8.0,4.2065179348,1349767,514683,706027,453893,932,509
sa,128,128,4,8.0,70.3395810127,135545,153335,92383,104005,120,132
rand,128,128,4,8.0,0.515934944153,581824,152950,145395,103912,207,127
rand,128,128,4,8.0,0.51564002037,581401,152557,145233,103876,207,135
rcm,128,128,32,8.0,1.11394119263,1605402,514562,803602,454168,1150,501
rcm,128,128,32,8.0,1.10951399803,1593951,514791,803117,454062,1209,513
rcm,128,128,32,8.0,1.12595701218,1613425,515063,804918,453929,1084,520
rand,128,128,8,8.0,0.50378704071,911260,235963,266953,172879,380,211
rand,128,128,8,8.0,0.503540992737,910931,235616,266740,173070,372,222
hilbert,128,128,1,8.0,0.197056055069,45520,60933,37612,41043,71,56
rand,128,128,32,8.0,0.504317045212,2012622,514938,891379,454302,1111,512
sa,128,128,8,8.0,164.699777842,259615,235511,170567,172914,238,212
sa,128,128,8,8.0,166.639946938,261144,236063,171242,173463,236,211
sa,128,128,8,8.0,163.502401114,224630,236271,166915,173331,208,212
rand,128,128,32,8.0,0.505475997925,2014155,514434,891230,453560,1123,513
hilbert,128,128,64,8.0,12.7442438602,1685479,733329,1074028,682043,1445,745
sa,128,128,2,8.0,39.6660070419,82181,97036,46184,63548,70,86
hilbert,128,128,64,8.0,12.5425989628,1669309,733547,1075485,682054,1479,751
rcm,128,128,32,8.0,1.1756169796,1604242,514678,803937,453370,1126,526
rcm,128,128,64,8.0,2.11091208458,2251846,732886,1367785,681519,1776,739
sa,128,128,8,8.0,163.804447174,261179,236330,171605,173520,237,211
rand,128,128,32,8.0,0.31675696373,2013821,514654,890706,453690,1109,519
rand,128,128,64,8.0,0.506348133087,2863841,733176,1575959,681733,1875,743
rand,128,128,64,8.0,0.505209922791,2867191,734141,1575067,682442,1873,751
rand,128,128,16,8.0,0.510359048843,1379471,351469,490537,284874,652,349
rand,128,128,64,8.0,0.511595964432,2869365,732561,1577604,681428,1889,737
rcm,128,128,64,8.0,2.0953040123,2263384,733013,1374885,681672,1793,750
rand,128,128,64,8.0,0.503044843674,2865462,733075,1574925,681560,1893,749
hilbert,128,128,128,8.0,35.3607959747,2189314,995041,1573124,951456,2250,1005
hilbert,128,128,128,8.0,35.3436479568,2213489,994633,1599195,950436,2285,1014
hilbert,128,128,128,8.0,35.1752960682,2228545,995344,1628622,951552,2215,1003
rcm,128,128,64,8.0,2.12852811813,2280621,733259,1381720,681600,1819,729
sa,128,128,16,8.0,406.118124962,352703,352042,285478,285245,331,339
sa,128,128,16,8.0,424.079996109,400486,352548,295590,285642,368,334
sa,128,128,16,8.0,425.26265502,399292,352024,295128,285368,377,337
sa,128,128,16,8.0,436.957664013,348604,351635,284386,284808,337,334
sa,128,128,16,8.0,429.869431973,400393,351884,295107,285275,369,349
sa,128,128,16,8.0,422.451577902,400025,351753,294795,284785,380,333
rcm,128,128,128,8.0,3.59798192978,3167855,993588,2259916,950180,3032,999
rcm,128,128,128,8.0,3.61539506912,3162279,994975,2259779,951298,2910,1016
rcm,128,128,128,8.0,3.60579514503,3186697,995789,2265039,951863,2976,1009
hilbert,128,128,256,8.0,110.127126932,2597144,1272035,2056497,1234568,3115,1291
rand,128,128,128,8.0,0.509624958038,3994357,995045,2664935,951323,3082,1025
rand,128,128,128,8.0,0.511433124542,3996900,995234,2668223,951795,3125,992
hilbert,128,128,256,8.0,112.309809923,2726287,1270841,2146917,1233520,3462,1281
hilbert,128,128,256,8.0,110.172027111,2830024,1271177,2241487,1233627,3356,1273
rand,128,128,128,8.0,0.508183002472,3996394,995524,2666447,951828,3075,995
