"","experiment","fault_model","dist","postprocess","dest","faults","router","num_samples","resource","resource_stdev","resource_min","resource_max","entries","entries_stdev","entries_min","entries_max","useX","useX_stdev","useX_min","useX_max","useY","useY_stdev","useY_min","useY_max","useD","useD_stdev","useD_min","useD_max","disconne","disconne_stdev","disconne_min","disconne_max","exectime","exectime_stdev","exectime_min","exectime_max","post_exectime","post_exectime_stdev","post_exectime_min","post_exectime_max","exectime_ci","post_exectime_ci","disconne_ci","resource_ci","entries_ci"
"1","baseline","spinn_link","cent3","DIJKSTRA",16,-1966,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","baseline","spinn_link","cent3","DIJKSTRA",16,-1966,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","baseline","spinn_link","cent3","DIJKSTRA",16,-1966,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","baseline","spinn_link","cent3","DIJKSTRA",16,-1966,"smart",10000,142.9199,630.163453104827,0,337,21.0587,15.2331230806424,0,29,46.5554,381.946279453014,0,227,47.0754,377.694185887207,0,223,47.3685,379.880254886984,0,225,0,0,0,0,22.4819,104.683003626663,0,90,0.0257,1.74955677610074,0,8,1.72188218195491,0.0287776480872682,0,10.3652664141174,0.250562577489928
"5","baseline","spinn_link","cent3","DIJKSTRA",16,-1966,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","baseline","spinn_link","cent3","DIJKSTRA",16,0,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","baseline","spinn_link","cent3","DIJKSTRA",16,0,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","baseline","spinn_link","cent3","DIJKSTRA",16,0,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","baseline","spinn_link","cent3","DIJKSTRA",16,0,"smart",10000,142.9199,630.163453104827,0,337,21.0587,15.2331230806424,0,29,46.5554,381.946279453014,0,227,47.0754,377.694185887207,0,223,47.3685,379.880254886984,0,225,0,0,0,0,19.8008,83.1580309481892,0,48,0.0267,1.61099333983726,0,1,1.36782788815272,0.0264984823802598,0,10.3652664141174,0.250562577489928
"10","baseline","spinn_link","cent3","DIJKSTRA",16,0,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","baseline","spinn_link","cent3","DIJKSTRA",16,19,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","baseline","spinn_link","cent3","DIJKSTRA",16,19,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","baseline","spinn_link","cent3","DIJKSTRA",16,19,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","baseline","spinn_link","cent3","DIJKSTRA",16,19,"smart",10000,143.383,629.787827312501,0,345,21.0973,15.5605212897897,0,29,47.4344,378.254528477849,0,223,47.2895,374.386813380226,0,212,46.889,383.664538326127,0,234,0,0,0,0,20.0305,83.8372627330473,0,53,0.4806,50.5023161322686,0,73,1.37900025680136,0.830689178596119,0,10.3590879196485,0.255947798807663
"15","baseline","spinn_link","cent3","DIJKSTRA",16,19,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","baseline","spinn_link","cent3","DIJKSTRA",16,39,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
