width,height,algo,runtime
240,240,INSEE,49.698
240,240,IQ Method,29.496
240,240,XYZ-Protocol,32.349
240,240,INSEE,53.533
240,240,IQ Method,37.120
240,240,XYZ-Protocol,32.420
240,240,INSEE,50.310
240,240,IQ Method,30.287
240,240,XYZ-Protocol,32.350
240,240,INSEE,49.875
240,240,IQ Method,29.762
240,240,XYZ-Protocol,32.381
240,240,INSEE,59.574
240,240,IQ Method,38.213
240,240,XYZ-Protocol,41.163
240,240,INSEE,51.579
240,240,IQ Method,29.680
240,240,XYZ-Protocol,32.480
240,240,INSEE,50.074
240,240,IQ Method,29.795
240,240,XYZ-Protocol,33.013
240,240,INSEE,50.340
240,240,IQ Method,29.925
240,240,XYZ-Protocol,32.548
240,240,INSEE,50.316
240,240,IQ Method,29.862
240,240,XYZ-Protocol,32.674
240,240,INSEE,51.525
240,240,IQ Method,29.850
240,240,XYZ-Protocol,32.533
240,240,INSEE,50.623
240,240,IQ Method,30.383
240,240,XYZ-Protocol,32.504
240,240,INSEE,50.246
240,240,IQ Method,30.064
240,240,XYZ-Protocol,32.742
240,240,INSEE,50.568
240,240,IQ Method,29.875
240,240,XYZ-Protocol,32.627
240,240,INSEE,50.554
240,240,IQ Method,30.164
240,240,XYZ-Protocol,32.595
240,240,INSEE,50.531
240,240,IQ Method,29.965
240,240,XYZ-Protocol,32.469
240,240,INSEE,50.681
240,240,IQ Method,30.251
240,240,XYZ-Protocol,32.681
240,240,INSEE,56.596
240,240,IQ Method,29.824
240,240,XYZ-Protocol,34.684
240,240,INSEE,60.122
240,240,IQ Method,29.989
240,240,XYZ-Protocol,32.582
240,240,INSEE,50.156
240,240,IQ Method,29.829
240,240,XYZ-Protocol,32.549
240,240,INSEE,56.178
240,240,IQ Method,30.168
240,240,XYZ-Protocol,33.079
240,240,INSEE,50.551
240,240,IQ Method,29.851
240,240,XYZ-Protocol,32.761
240,240,INSEE,50.842
240,240,IQ Method,30.354
240,240,XYZ-Protocol,32.958
240,240,INSEE,50.230
240,240,IQ Method,29.782
240,240,XYZ-Protocol,32.350
240,240,INSEE,51.283
240,240,IQ Method,29.900
240,240,XYZ-Protocol,32.661
240,240,INSEE,50.271
240,240,IQ Method,33.063
240,240,XYZ-Protocol,33.292
240,240,INSEE,52.067
240,240,IQ Method,29.990
240,240,XYZ-Protocol,33.305
240,240,INSEE,51.323
240,240,IQ Method,30.719
240,240,XYZ-Protocol,33.206
240,240,INSEE,51.184
240,240,IQ Method,30.777
240,240,XYZ-Protocol,32.951
240,240,INSEE,51.042
240,240,IQ Method,30.792
240,240,XYZ-Protocol,32.886
240,240,INSEE,51.308
240,240,IQ Method,31.816
240,240,XYZ-Protocol,32.918
240,240,INSEE,50.084
240,240,IQ Method,29.968
240,240,XYZ-Protocol,32.879
240,240,INSEE,50.689
240,240,IQ Method,29.898
240,240,XYZ-Protocol,34.822
240,240,INSEE,50.318
240,240,IQ Method,29.677
240,240,XYZ-Protocol,33.014
240,240,INSEE,50.915
240,240,IQ Method,30.014
240,240,XYZ-Protocol,32.970
240,240,INSEE,54.728
240,240,IQ Method,30.164
240,240,XYZ-Protocol,33.811
240,240,INSEE,50.028
240,240,IQ Method,30.152
240,240,XYZ-Protocol,32.777
240,240,INSEE,50.144
240,240,IQ Method,29.985
240,240,XYZ-Protocol,32.452
240,240,INSEE,49.978
240,240,IQ Method,29.830
240,240,XYZ-Protocol,32.701
240,240,INSEE,50.319
240,240,IQ Method,29.984
240,240,XYZ-Protocol,32.679
240,240,INSEE,50.337
240,240,IQ Method,30.418
240,240,XYZ-Protocol,34.160
240,240,INSEE,52.558
240,240,IQ Method,30.360
240,240,XYZ-Protocol,35.280
240,240,INSEE,50.496
240,240,IQ Method,29.968
240,240,XYZ-Protocol,32.651
240,240,INSEE,50.973
240,240,IQ Method,30.446
240,240,XYZ-Protocol,32.808
240,240,INSEE,50.878
240,240,IQ Method,29.999
240,240,XYZ-Protocol,33.157
240,240,INSEE,50.829
240,240,IQ Method,30.059
240,240,XYZ-Protocol,32.600
240,240,INSEE,50.225
240,240,IQ Method,30.240
240,240,XYZ-Protocol,32.840
240,240,INSEE,50.031
240,240,IQ Method,29.894
240,240,XYZ-Protocol,34.523
240,240,INSEE,51.328
240,240,IQ Method,29.885
240,240,XYZ-Protocol,32.707
240,240,INSEE,50.821
240,240,IQ Method,30.028
240,240,XYZ-Protocol,32.757
240,240,INSEE,50.100
240,240,IQ Method,30.290
240,240,XYZ-Protocol,33.038
